C1,C2,C3,Taxa_aprend,k-Fold,EMQ,Acurácia
4,4,1,0.9,5-Fold1,0.066813384,84.18%
4,4,1,0.9,5-Fold2,0.067985041,84.54%
4,4,1,0.9,5-Fold3,0.063988516,85.14%
4,4,1,0.9,5-Fold4,0.066178558,84.85%
4,4,1,0.9,5-Fold5,0.066891877,84.60%
4,4,1,0.65,5-Fold1,0.068747652,84.09%
4,4,1,0.65,5-Fold2,0.070207256,84.53%
4,4,1,0.65,5-Fold3,0.065667821,85.03%
4,4,1,0.65,5-Fold4,0.068053913,84.76%
4,4,1,0.65,5-Fold5,0.068868503,84.50%
4,4,1,0.3,5-Fold1,0.071263483,83.99%
4,4,1,0.3,5-Fold2,0.073035807,84.40%
4,4,1,0.3,5-Fold3,0.068095920,84.89%
4,4,1,0.3,5-Fold4,0.070610429,84.68%
4,4,1,0.3,5-Fold5,0.071672965,84.37%
4,10,1,0.9,5-Fold1,0.067500642,84.21%
4,10,1,0.9,5-Fold2,0.068763878,84.51%
4,10,1,0.9,5-Fold3,0.064520419,85.11%
4,10,1,0.9,5-Fold4,0.066764283,84.85%
4,10,1,0.9,5-Fold5,0.067621358,84.51%
4,10,1,0.65,5-Fold1,0.070410761,84.09%
4,10,1,0.65,5-Fold2,0.071863914,84.43%
4,10,1,0.65,5-Fold3,0.066823812,84.96%
4,10,1,0.65,5-Fold4,0.069251535,84.76%
4,10,1,0.65,5-Fold5,0.070417427,84.50%
4,10,1,0.3,5-Fold1,0.072009427,84.03%
4,10,1,0.3,5-Fold2,0.073728491,84.43%
4,10,1,0.3,5-Fold3,0.068622282,84.88%
4,10,1,0.3,5-Fold4,0.071161340,84.74%
4,10,1,0.3,5-Fold5,0.072331807,84.41%
