C1,C2,C3,Taxa_aprend,Épocas,Menor_erro,Acertos,Erros,EMQ,Acurácia
11,11,1,0.9,1000,1.000000000,107,39,0.105003116,73.29%
11,11,1,0.9,1000,1.000000000,84,26,0.093425497,76.36%
11,11,1,0.9,1000,1.000000000,59,14,0.077451787,80.82%
11,11,1,0.65,1000,1.000000000,112,34,0.094187067,76.71%
11,11,1,0.65,1000,1.000000000,78,32,0.109238305,70.91%
11,11,1,0.65,1000,1.000000000,60,13,0.078860091,82.19%
11,11,1,0.3,1000,1.000000000,121,25,0.072855250,82.88%
11,11,1,0.3,1000,1.000000000,85,25,0.088128607,77.27%
11,11,1,0.3,1000,1.000000000,59,14,0.084757968,80.82%
11,17,1,0.9,1000,1.000000000,101,45,0.130537871,69.18%
11,17,1,0.9,1000,1.000000000,92,18,0.070698086,83.64%
11,17,1,0.9,1000,1.000000000,55,18,0.091981573,75.34%
11,17,1,0.65,1000,1.000000000,109,37,0.100931800,74.66%
11,17,1,0.65,1000,1.000000000,84,26,0.097145955,76.36%
11,17,1,0.65,1000,1.000000000,58,15,0.083135988,79.45%
11,17,1,0.3,1000,0.977169798,103,43,0.127241887,70.55%
11,17,1,0.3,1000,1.000000000,78,32,0.112965277,70.91%
11,17,1,0.3,1000,1.000000000,57,16,0.084783440,78.08%
